,user,title,tags,num_of_tags,description
0,vladixp,Accelerating,"['ilford', 'hp5', 'hp51600', 'ei1600', 'pushprocessing', 'microphen', 'reused', '14min', '20c', 'praktica', 'mtl5', 'flektogon', 'k2', 'pf7250u', '3600dpi', '35mm', 'yellowfilter', 'filmscan', 'bw', 'bwfilm', 'film', 'filmphotography', 'negative', 'scanned', 'bulgaria', 'railway', 'rail', 'zemen', 'steam', 'cegielski', 'poznan', 'grannybear', 'bulgarien', 'българия', 'бабамеца', 'земен', 'bdz', 'бдж', '4603', 'coal', 'engine', 'locomotive', 'loco', 'smoke', 'railstation', 'accelerating', 'signal', 'semaphore', 'railswitch', 'watertank', '불가리아', 'בולגריה', '保加利亞', 'βουλγαρία', 'бугарска', 'болгарія', 'болгария', 'bugarska', 'bulgaaria', 'bulgario', 'bulgarie', 'bulgarija', 'bulgārija', 'bulgarije', 'bułgaria', 'bullgaria', 'bulgaristan', '保加利亚', 'بلغاريا', 'ブルガリア']",70,"Ilford HP5+@1600
MICROPHEN stock reused 14 min. @20C
Praktica MTL5
MC Flektogon 2.4 / 35
Hoya HMC K2"
1,vladixp,From near,"['ilford', 'hp5', 'hp51600', 'ei1600', 'pushprocessing', 'microphen', 'reused', '14min', '20c', 'praktica', 'mtl5', 'flektogon', 'k2', 'pf7250u', '3600dpi', '35mm', 'yellowfilter', 'filmscan', 'bw', 'bwfilm', 'film', 'filmphotography', 'negative', 'scanned', 'bulgaria', 'railway', 'rail', 'zemen', 'steam', 'cegielski', 'poznan', 'grannybear', 'bulgarien', 'българия', 'бабамеца', 'земен', 'bdz', 'бдж', '4603', 'coal', 'engine', 'locomotive', 'loco', 'smoke', 'railstation', 'accelerating', 'signal', 'semaphore', 'railswitch', 'watertank', '불가리아', 'בולגריה', '保加利亞', 'βουλγαρία', 'бугарска', 'болгарія', 'болгария', 'bugarska', 'bulgaaria', 'bulgario', 'bulgarie', 'bulgarija', 'bulgārija', 'bulgarije', 'bułgaria', 'bullgaria', 'bulgaristan', '保加利亚', 'بلغاريا', 'ブルガリア']",70,"Ilford HP5+@1600
MICROPHEN stock reused 14 min. @20C
Praktica MTL5
MC Flektogon 2.4 / 35
Hoya HMC K2"
2,vladixp,46 03 departs,"['ilford', 'hp5', 'hp51600', 'ei1600', 'pushprocessing', 'microphen', 'reused', '14min', '20c', 'praktica', 'mtl5', 'flektogon', 'k2', 'pf7250u', '3600dpi', '35mm', 'yellowfilter', 'filmscan', 'bw', 'bwfilm', 'film', 'filmphotography', 'negative', 'scanned', 'bulgaria', 'railway', 'rail', 'zemen', 'steam', 'cegielski', 'poznan', 'grannybear', 'bulgarien', 'българия', 'бабамеца', 'земен', 'bdz', 'бдж', '4603', 'coal', 'engine', 'locomotive', 'loco', 'smoke', 'railstation', 'accelerating', 'signal', 'semaphore', 'railswitch', 'watertank', '불가리아', 'בולגריה', '保加利亞', 'βουλγαρία', 'бугарска', 'болгарія', 'болгария', 'bugarska', 'bulgaaria', 'bulgario', 'bulgarie', 'bulgarija', 'bulgārija', 'bulgarije', 'bułgaria', 'bullgaria', 'bulgaristan', '保加利亚', 'بلغاريا', 'ブルガリア']",70,"Ilford HP5+@1600
MICROPHEN stock reused 14 min. @20C
Praktica MTL5
MC Flektogon 2.4 / 35
Hoya HMC K2"
3,vladixp,Go Bear Go!,"['ilford', 'hp5', 'hp51600', 'ei1600', 'pushprocessing', 'microphen', 'reused', '14min', '20c', 'praktica', 'mtl5', 'flektogon', 'k2', 'pf7250u', '3600dpi', '35mm', 'yellowfilter', 'filmscan', 'bw', 'bwfilm', 'film', 'filmphotography', 'negative', 'scanned', 'bulgaria', 'railway', 'rail', 'zemen', 'steam', 'cegielski', 'poznan', 'grannybear', 'bulgarien', 'българия', 'бабамеца', 'земен', 'bdz', 'бдж', '4603', 'coal', 'engine', 'locomotive', 'loco', 'smoke', 'railstation', 'accelerating', 'signal', 'semaphore', 'railswitch', 'watertank', 'mercurylamp', 'спирачка', 'служебнамаса', 'спирачнамаса', 'water', 'boiler', 'boiled', 'engineer', 'driver', 'sofia', 'софия', '保加利亚', 'بلغاريا', 'ブルガリア']",64,"Ilford HP5+@1600
MICROPHEN stock reused 14 min. @20C
Praktica MTL5
MC Flektogon 2.4 / 35
Hoya HMC K2"
4,roomman,Intercity from Holyhead to London climbs the ramp on Anglesey,"['greatbritain', 'uk', 'unitedkingdom', 'united', 'kingdom', 'rail', 'rails', 'transport', 'transportation', 'train', 'trains', 'br', 'british', 'railways', 'railway', 'bristirailway', 'britishrailways', 'heritage', 'history', 'vintage', '1990', '1990s', '90s', '90', 'intercity', 'inter', 'city', 'class43', '43', 'hst', 'high', 'speed', 'holyhead', 'anglesey', '1995', 'island', 'track', 'steep', 'accelerate', 'accelerating', 'bw', 'black', 'white', 'bandw', 'blackandwhite', 'contrast', 'monochrome', '95', 'wales', 'north', 'northwales', 'class', 'express', 'fast', 'passenger', 'landscape', 'nature', 'pespective', 'london', 'irishmail', 'irish', 'mail']",62,
5,trethurffe2001,Beautiful looking Alfa 156,"['156', 'accelerate', 'accelerating', 'action', 'alfa', 'alfaromeo', 'alfaromeo156', 'autoracing', 'automobile', 'blur', 'breeze', 'britishracingsportscarclub', 'brscc', 'brsccsummersolsticeraceday', 'car', 'cars', 'championship', 'cheshire', 'circuit', 'cloudy', 'competition', 'driving', 'dry', 'england', 'fast', 'kerb', 'lap', 'lightwind', 'littlebudworth', 'motion', 'motor', 'motorcar', 'motorcars', 'movement', 'oulton', 'oultonpark', 'outdoor', 'outdoors', 'pitstraight', 'race', 'racecar', 'racecircuit', 'races', 'racing', 'saloon', 'salooncar', 'speed', 'sport', 'sports', 'startfinish', 'straight', 'tarmac', 'track', 'vehicle', 'vehicles', 'warm', 'unitedkingdom']",57,"Andy Robinson in his Alfa Romeo 156 runs down the Start/Finish straight during Qualifying for the BRSCC Alfa Romeo Championship.

Photograph taken during the Alfa Romeo Championship Qualifying session for the BRSCC Summer Solstice Raceday at Oulton Park on 25th June 2016."
6,trethurffe2001,Just edging over the rumble strip,"['accelerate', 'accelerating', 'action', 'autoracing', 'automobile', 'blur', 'braking', 'car', 'cars', 'championship', 'cheshire', 'circuit', 'clouds', 'cloudy', 'competition', 'corner', 'cornering', 'driving', 'dry', 'england', 'fast', 'kerb', 'lap', 'littlebudworth', 'mazda', 'motion', 'motor', 'motorcar', 'motorcars', 'movement', 'mx5', 'oldhall', 'oulton', 'oultonpark', 'outdoor', 'outdoors', 'race', 'racecar', 'racecircuit', 'races', 'racing', 'sky', 'slower', 'speed', 'sport', 'sports', 'sportscar', 'straight', 'tarmac', 'theavenue', 'track', 'vehicle', 'vehicles', 'warm', 'unitedkingdom']",55,"Paul McGuire from Salisbury runs his nearside wheels over the rumble strip as he accelerates away from the corner.

It seemed to me that the MX-5 class races are so competitive that if the tyres are not squealing and you aren't running over the rumble strips, you are not trying hard enough!

Photograph taken during the Mazda MX-5 Championship Qualifying session for the BRSCC Summer Solstice Raceday at Oulton Park on 25th June 2016."
7,trethurffe2001,Ferrari 328 GTB exits Old Hall corner,"['328', 'brscc', 'brsccandfuncup', 'cup', 'fun', 'oultonpark', 'accelerate', 'accelerating', 'autoracing', 'blur', 'calm', 'car', 'cars', 'cheshire', 'circuit', 'close', 'cloudy', 'corner', 'cornering', 'driver', 'driving', 'dry', 'dubworth', 'england', 'fast', 'ferrari', 'gb', 'grass', 'greatbritain', 'gtb', 'lap', 'motion', 'motor', 'motorcar', 'openwheel', 'outdoor', 'race', 'racecar', 'racing', 'saloon', 'singleseater', 'speed', 'sport', 'sports', 'straight', 'sunshine', 'tarmac', 'track', 'vehicle', 'vehicles', 'warm', 'wheel', 'wheels']",53,3.2 litre Ferrari 328 GTB driven by Gary Culver exits Old Hall corner during the Pirelli Ferrari Formula Classic race at Oulton Park during the BRSCC Dubworth and FunCup racing at Oulton Park.
8,trethurffe2001,Ferrari 308 GT4 exits Old Hall corner,"['308', 'brscc', 'brsccandfuncup', 'cup', 'fun', 'oultonpark', 'accelerate', 'accelerating', 'autoracing', 'blur', 'calm', 'car', 'cars', 'cheshire', 'circuit', 'close', 'cloudy', 'corner', 'cornering', 'driver', 'driving', 'dry', 'dubworth', 'england', 'fast', 'ferrari', 'gb', 'grass', 'greatbritain', 'gt4', 'lap', 'motion', 'motor', 'motorcar', 'openwheel', 'outdoor', 'race', 'racecar', 'racing', 'saloon', 'singleseater', 'speed', 'sport', 'sports', 'straight', 'sunshine', 'tarmac', 'track', 'vehicle', 'vehicles', 'warm', 'wheel', 'wheels']",53,2.9 litre Ferrari 308 GT4 driven by Terry Simpson exits Old Hall corner during the Pirelli Ferrari Formula Classic race at Oulton Park during the BRSCC Dubworth and FunCup racing at Oulton Park.
9,trethurffe2001,Gently over the crest until full grip is restored.,"['accelerate', 'accelerating', 'action', 'autoracing', 'automobile', 'blur', 'braking', 'car', 'cars', 'championship', 'cheshire', 'circuit', 'clouds', 'cloudy', 'competition', 'corner', 'cornering', 'driving', 'dry', 'england', 'fast', 'kerb', 'lap', 'littlebudworth', 'lodge', 'mazda', 'motion', 'motor', 'motorcar', 'motorcars', 'movement', 'mx5', 'oulton', 'oultonpark', 'outdoor', 'outdoors', 'race', 'racecar', 'racecircuit', 'races', 'racing', 'sky', 'slower', 'speed', 'sport', 'sports', 'sportscar', 'tarmac', 'track', 'vehicle', 'vehicles', 'warm', 'unitedkingdom']",53,"Clive Chisnell comes over the tricky brow as he exits Old Hall Corner under gentle accelerarion.

This is a tricky corner because just when you get to where you would normally accelerate, the car is going light over the brow and so there is less grip available.  Too much power at this point can help you meet with the Marshalls in the gravel trap.

Photograph taken during the Mazda MX-5 Championship Free Practice session for the BRSCC Summer Solstice Raceday at Oulton Park on 25th June 2016."
10,trethurffe2001,Start of the Caterham Superlight  R300 Race,"['accelerate', 'accelerating', 'action', 'autoracing', 'automobile', 'blur', 'britishracingsportscarclub', 'brscc', 'car', 'cars', 'caterham', 'championship', 'cheshire', 'circuit', 'competition', 'corner', 'driving', 'england', 'fast', 'finish', 'lap', 'littlebudworth', 'motion', 'motor', 'motorcar', 'motorcars', 'movement', 'oldhall', 'oulton', 'oultonpark', 'outdoor', 'outdoors', 'outside', 'pitstraight', 'r300', 'race', 'racecar', 'racecircuit', 'races', 'racing', 'speed', 'sport', 'staight', 'start', 'startfinish', 'superlight', 'track', 'vehicle', 'vehicles', 'unitedkingdom']",50,The massed start of the BookaTrack.com Caterham Superlight R300 Championship Race with 27 starters in the picture giving close racing throughout the race.
11,trethurffe2001,Heading to the crest of Deer Leap,"['accelerate', 'accelerating', 'action', 'autoracing', 'automobile', 'blur', 'car', 'cars', 'championship', 'cheshire', 'circuit', 'clouds', 'cloudy', 'competition', 'corner', 'deerleap', 'driving', 'dry', 'england', 'fast', 'kerb', 'lap', 'littlebudworth', 'mazda', 'motion', 'motor', 'motorcar', 'motorcars', 'movement', 'mx5', 'oulton', 'oultonpark', 'outdoor', 'outdoors', 'race', 'racecar', 'racecircuit', 'races', 'racing', 'sky', 'speed', 'sport', 'sports', 'sportscar', 'straight', 'tarmac', 'track', 'vehicle', 'vehicles', 'warm']",50,"Simon Baldwin from Reigate in his Mk 1 Mazda MX-5 as he accelerates through Deer Leap.

Photograph taken during the Mazda MX-5 Championship Free Practice session for the BRSCC Summer Solstice Raceday at Oulton Park on 25th June 2016."
