,user,title,tags,num_of_tags,description
0,United Nations Peacekeeping,The United Nations has welcomed today’s announcement by the country’s electoral authorities of the first official decisions on the findings from the 100 per cent audit of the June 14 Presidential run-off election. http://bit.ly/1mJDaG7 “Now is the time to,"['the', 'united', 'nations', 'has', 'welcomed', 'today’s', 'announcement', 'by', 'country’s', 'electoral', 'authorities', 'first', 'official', 'decisions', 'findings', 'from', '100', 'per', 'cent', 'audit', 'june', '14', 'presidential', 'runoff', 'election', 'httpbitly1mjdag7', '“now', 'is', 'time', 'count', 'ballots', 'make', 'good', 'commitments', 'respect', 'results', 'turn', 'page', 'new', 'era', 'opportunity', 'hope', 'that', 'afghan', 'people', 'need', 'deserve', '”', 'said', 'un', 'deputy', 'secretarygeneral', 'jan', 'eliasson', 'unamafardin', 'waezi']",56,"<a href=""http://ift.tt/1tNpEFz"" rel=""nofollow"">ift.tt/1tNpEFz</a>"
1,Majid_Tavakoli,آنگ سان سوچي در انتخابات برمه پيروز شد.,"['\u202bآنگ\u202c', 'سان', 'سوچي', 'در', 'انتخابات', 'برمه', 'پيروز', 'شدwall', 'photosdissident', 'suu', 'kyi', 'elected', 'burmese', 'parliament', 'opposition', 'saysreuters', 'apr', '1', '2012myanmar’s', 'prodemocracy', 'leader', 'aung', 'san', 'won', 'seat', 'sunday', 'her', 'party', 'said', 'after', 'an', 'historic', 'byelection', 'that', 'is', 'testing', 'country’s', 'nascent', 'reform', 'credentials', 'could', 'persuade', 'west', 'end', 'sanctionshttpnewsnationalpostcom20120401aungsansuukyiburmaelection', 'evin', 'prison', 'rajai', 'shahr', 'majid', 'tavakoli', 'kouhyar', 'goudarzi', 'iranian', 'political', 'prisoners']",56,"
‫آنگ سان سوچي در انتخابات برمه پيروز شد.‬

Wall Photos
Dissident Suu Kyi elected to Burmese parliament, opposition says

Reuters Apr 1, 2012

Myanmar’s pro-democracy leader Aung San Suu Kyi won a seat in parliament on Sunday, her party said, after an historic by-election that is testing the country’s nascent reform credentials and could persuade the West to end sanctions.

<a href=""http://natpo.st/H84Q4l"" rel=""nofollow"">natpo.st/H84Q4l</a>

       "
2,Majid_Tavakoli,Iran’s foreign minister briefly arrested in Cyprus,"['iran’s', 'foreign', 'minister', 'briefly', 'arrested', 'cyprusiran’s', 'cyprusenglishalarabiyanetiran’s', 'ali', 'akbar', 'salehi', 'was', 'by', 'cypriot', 'antiterrorism', 'forces', 'after', 'he', 'arrived', 'nicosia', 'international', 'airport', 'tuesday', 'the', 'arrest', 'made', 'for', 'salehi’s', 'violation', 'european', 'union', 'ban', 'travels', 'iranian', 'officials', 'involved', 'country’s', 'nuclear', 'progra…', 'evin', 'prison', 'rajai', 'shahr', 'majid', 'tavakoli', 'kouhyar', 'goudarzi', 'political', 'prisoners']",48,"
Iran’s foreign minister briefly arrested in Cyprus

Iran’s foreign minister briefly arrested in Cyprus
english.alarabiya.net
Iran’s Foreign Minister Ali Akbar Salehi was briefly arrested by the Cypriot anti-terrorism forces after he arrived at Nicosia International Airport on Tuesday. The arrest was made for Salehi’s violation of a European Union ban on travels by Iranian officials involved in the country’s nuclear progra…

       "
3,United Nations Peacekeeping,"Today, the Government of South Sudan and the UN launched the “Children, Not Soldiers” campaign nationally, marking the country’s renewed commitment to end the recruitment and use of children by its army. http://bit.ly/1wdzYKh The campaign is led jointly b","['today', 'government', 'south', 'sudan', 'un', 'launched', '“children', 'not', 'soldiers”', 'campaign', 'nationally', 'marking', 'country’s', 'renewed', 'commitment', 'end', 'recruitment', 'use', 'children', 'by', 'its', 'army', 'httpbitly1wdzykh', 'the', 'is', 'led', 'jointly', 'united', 'nations', 'office', 'for', 'armed', 'conflict', 'mission', 'unmiss', 'unicef', 'with', 'support', 'other', 'partners', 'aims', 'security', 'forces', '2016', 'photo']",45,"<a href=""https://www.facebook.com/unpeacekeeping/photos/a.10150236922901003.320204.255274201002/10152403455546003/?type=1"" rel=""nofollow"">www.facebook.com/unpeacekeeping/photos/a.1015023692290100...</a>"
4,fieldscjdr,"On #ArmedForcesDay, we proudly look back on our history with our country’s bravest men and women. - photo from jeepofficial","['fields', 'chrysler', 'jeep', 'dodge', 'ram', 'fieldscjdr', 'auto', 'group', 'wwwfieldschryslerjeepdodgeramcom', 'news', 'love', 'like', 'post', 'automotive', 'car', 'cars', 'vehicle', 'vehicles', 'truck', 'trucks', 'suv', 'florida', 'httpswwwfacebookcomfieldscjdrfloridaphotosa75016523172570810737418351750328992389471044967578912137type3', 'httpsscontentxxfbcdnnetvt109p720x7201326795010449675789121373910977321481883057njpgohbd2fd5b1944718132c3b29fe8c2872a8oe57ddbfb6', 'on', 'armedforcesday', 'we', 'proudly', 'look', 'back', 'our', 'history', 'with', 'country’s', 'bravest', 'men', 'women', 'photo', 'from', 'jeepofficial', 'may', '21', '2016', '0937am', 'httpwwwfacebookcompagesp175032899238947']",45,"<a href=""http://ift.tt/1TtTEUW"" rel=""nofollow"">ift.tt/1TtTEUW</a>"
5,orlandomini,"This summer, discover some of our country’s most captivating scenery while hugging the curves of two-lane byways. Register now for #MTTS2016. http://ift.tt/KL7egG - photo from miniusa","['mini', 'orlandomini', 'orlando', 'florida', 'usa', 'united', 'states', 'wwwiwantaminicom', 'cooper', 'clubman', 'paceman', 'countryman', 'httpswwwfacebookcomorlandominiphotosa10152516145846314107374185013777370631310153690485996314type3', 'httpsscontentxxfbcdnnetvt10913245504101536904859963141183308861224915901njpgoh6e73ace6e016b42c215cb7862816f8c9oe57e41704', 'this', 'summer', 'discover', 'some', 'our', 'country’s', 'most', 'captivating', 'scenery', 'while', 'hugging', 'curves', 'twolane', 'byways', 'register', 'now', 'for', 'mtts2016', 'httpiftttkl7egg', 'photo', 'from', 'miniusa', 'may', '25', '2016', '1201pm', 'httpwwwfacebookcompagesp137773706313']",41,"<a href=""http://ift.tt/1qJtMu7"" rel=""nofollow"">ift.tt/1qJtMu7</a>"
6,United Nations Peacekeeping,The United Nations Assistance Mission in Afghanistan (UNAMA) welcomes the start of the audit of the results of the country’s 2014 Presidential election run-off. http://bit.ly/1jB5Nch The audit is being conducted by Afghanistan’s Independent Election Commi,"['the', 'united', 'nations', 'assistance', 'mission', 'afghanistan', 'unama', 'welcomes', 'start', 'audit', 'results', 'country’s', '2014', 'presidential', 'election', 'runoff', 'httpbitly1jb5nch', 'is', 'being', 'conducted', 'by', 'afghanistan’s', 'independent', 'commission', 'iec', 'under', 'close', 'extensive', 'international', 'supervision', 'led', 'news', 'centre', 'photo']",34,"<a href=""http://ift.tt/UcFiO5"" rel=""nofollow"">ift.tt/UcFiO5</a>"
7,United Nations Peacekeeping,"Today is the third anniversary of the independence South Sudan. Secretary-General Ban Ki-moon calls on the country’s leaders to live up to the expectations of their people, lay down their arms and return immediately to negotiations to end the ongoing cris","['today', 'is', 'third', 'anniversary', 'independence', 'south', 'sudan', 'secretarygeneral', 'ban', 'kimoon', 'calls', 'country’s', 'leaders', 'live', 'up', 'expectations', 'their', 'people', 'lay', 'down', 'arms', 'return', 'immediately', 'negotiations', 'end', 'ongoing', 'crisis', 'httpbitlytsw9ks', 'united', 'nations', 'mission', 'unmiss', 'photojc', 'mcilwaine']",34,"<a href=""http://ift.tt/VKrHiF"" rel=""nofollow"">ift.tt/VKrHiF</a>"
8,Majid_Tavakoli,Veteran Iranian stage director and translator Hamid Samandarian has died at the…,"['veteran', 'iranian', 'stage', 'director', 'translator', 'hamid', 'samandarian', 'has', 'died', 'age', '81', 'country’s', 'capital', 'tehranveteran', 'dies', '|', 'persian', 'iconswwwpersianiconsorgveteran', 'tehran', 'born', '1931', 'renowned', 'evin', 'prison', 'rajai', 'shahr', 'majid', 'tavakoli', 'kouhyar', 'goudarzi', 'political', 'prisoners']",32,"
Veteran Iranian stage director and translator Hamid Samandarian has died at the age of 81 in the country’s capital, Tehran.

Veteran Iranian director Hamid Samandarian dies at 81 | Persian Icons
<a href=""http://www.persianicons.org"" rel=""nofollow"">www.persianicons.org</a>
Veteran Iranian stage director and translator Hamid Samandarian has died at the age of 81 in the country’s capital, Tehran. Born in 1931, the renowned

       "
9,'TIGER',Nairobi Kenya,"['politics', 'political', 'graffiti', 'country’s', 'corrupt', 'politicians', 'i', 'am', 'tribal', 'leader', 'they', 'loot', 'rape', 'burn', 'kill', 'defence', 'steal', 'their', 'taxes', 'grab', 'land', 'but', 'idiots', 'will', 'still', 'vote', 'for', 'me']",28,"I am a tribal leader. They loot, rape, burn and kill in my defence. I steal their taxes, grab land, but the idiots will still vote for me"
